ref_id,date,amount,merchant,memo
LEDGER-000077,2026-08-05,379.9,WALMART,Payment for goods
LEDGER-000078,2026-07-29,420.3,WALMART,Payment for subscription
LEDGER-000079,2026-08-11,380.4,AWS,Payment for subscription
LEDGER-000080,2026-08-08,182.5,NETFLIX,Payment for goods
LEDGER-000081,2026-07-27,40.25,STARBUCKS,Payment for goods
LEDGER-000082,2026-08-04,451.38,UBER,Payment for goods
LEDGER-000083,2026-07-26,826.18,NETFLIX,Payment for services
LEDGER-000084,2026-07-25,350.65,SPOTIFY,Payment for goods
LEDGER-000085,2026-07-24,144.18,DOORDASH,Payment for services
LEDGER-000086,2026-07-31,345.74,SPOTIFY,Payment for subscription
LEDGER-000087,2026-08-06,966.78,NETFLIX,Payment for goods
LEDGER-000088,2026-08-07,238.12,STARBUCKS,Payment for goods
LEDGER-000089,2026-07-27,402.62,WALMART,Payment for goods
LEDGER-000090,2026-08-12,956.76,GITHUB,Payment for services
LEDGER-000091,2026-07-18,669.6,AWS,Payment for goods
LEDGER-000092,2026-08-07,411.46,UBER,Payment for goods
LEDGER-000093,2026-07-31,694.01,NETFLIX,Payment for goods
LEDGER-000094,2026-07-26,709.31,GITHUB,Payment for subscription
LEDGER-000095,2026-08-13,211.89,UBER,Payment for goods
